"wq_name","site","model","month","Fut1diff_median","Fut2diff_median","Fut1like","Fut2like","Fut1med_use","Fut2med_use","X0"
"Turbidity Alafia R at Lithia","Alafia","MIROC-ESM","Dec",-0.00176255885526233,-0.894641104423595,50,100,NA,-0.894641104423595,NA
"Turbidity Alafia R at Lithia","Alafia","MPI-ESM-LR","Jan",0.275338364783885,0.32031723819112,96,98,0.275338364783885,0.32031723819112,NA
"Turbidity Alafia R at Lithia","Alafia","MPI-ESM-LR","Feb",-0.0465049661356127,0.265313990458875,67,98,NA,0.265313990458875,NA
"Turbidity Alafia R at Lithia","Alafia","MPI-ESM-LR","Mar",-0.1017295087322,-0.0829139169441098,79,69,NA,NA,NA
"Turbidity Alafia R at Lithia","Alafia","MPI-ESM-LR","Apr",-0.382422978346255,-0.642149574854573,100,100,-0.382422978346255,-0.642149574854573,NA
"Turbidity Alafia R at Lithia","Alafia","MPI-ESM-LR","May",-0.301204184398548,-0.60175611661131,100,100,-0.301204184398548,-0.60175611661131,NA
"Turbidity Alafia R at Lithia","Alafia","MPI-ESM-LR","Jun",-0.361680164925185,-1.03105468162095,100,100,-0.361680164925185,-1.03105468162095,NA
"Turbidity Alafia R at Lithia","Alafia","MPI-ESM-LR","Jul",-0.29809131427632,-1.11482112878089,99,100,-0.29809131427632,-1.11482112878089,NA
"Turbidity Alafia R at Lithia","Alafia","MPI-ESM-LR","Aug",0.116819677945658,-1.00640810861761,76,100,NA,-1.00640810861761,NA
"Turbidity Alafia R at Lithia","Alafia","MPI-ESM-LR","Sep",0.00381621946947419,-1.29359955783338,51,100,NA,-1.29359955783338,NA
"Turbidity Alafia R at Lithia","Alafia","MPI-ESM-LR","Oct",0.273743560609845,-0.428776822236028,93,100,0.273743560609845,-0.428776822236028,NA
"Turbidity Alafia R at Lithia","Alafia","MPI-ESM-LR","Nov",0.358823003482385,-0.188273399968412,99,95,0.358823003482385,-0.188273399968412,NA
"Turbidity Alafia R at Lithia","Alafia","MPI-ESM-LR","Dec",0.481525090884285,0.496015624625155,100,100,0.481525090884285,0.496015624625155,NA
"Turbidity Alafia R at Lithia","Alafia","MRI-CGCM3","Jan",1.00477407889251,0.755240899147705,100,100,1.00477407889251,0.755240899147705,NA
"Turbidity Alafia R at Lithia","Alafia","MRI-CGCM3","Feb",1.14046726912528,0.853486717205238,100,100,1.14046726912528,0.853486717205238,NA
"Turbidity Alafia R at Lithia","Alafia","MRI-CGCM3","Mar",1.4857077556923,1.59151279025494,100,100,1.4857077556923,1.59151279025494,NA
"Turbidity Alafia R at Lithia","Alafia","MRI-CGCM3","Apr",1.1111932098036,1.0000940762919,100,100,1.1111932098036,1.0000940762919,NA
"Turbidity Alafia R at Lithia","Alafia","MRI-CGCM3","May",0.720511902883177,0.68509796384222,100,100,0.720511902883177,0.68509796384222,NA
"Turbidity Alafia R at Lithia","Alafia","MRI-CGCM3","Jun",1.15995857706374,0.766954520206248,100,100,1.15995857706374,0.766954520206248,NA
"Turbidity Alafia R at Lithia","Alafia","MRI-CGCM3","Jul",1.74286327234418,1.26532880918049,100,100,1.74286327234418,1.26532880918049,NA
"Turbidity Alafia R at Lithia","Alafia","MRI-CGCM3","Aug",2.50168267141561,1.92421824717761,100,100,2.50168267141561,1.92421824717761,NA
"Turbidity Alafia R at Lithia","Alafia","MRI-CGCM3","Sep",1.15923982004856,1.51831851438737,100,100,1.15923982004856,1.51831851438737,NA
"Turbidity Alafia R at Lithia","Alafia","MRI-CGCM3","Oct",0.498434586367578,0.590769145843472,100,100,0.498434586367578,0.590769145843472,NA
"Turbidity Alafia R at Lithia","Alafia","MRI-CGCM3","Nov",0.363495884833265,0.389325948321212,99,100,0.363495884833265,0.389325948321212,NA
"Turbidity Alafia R at Lithia","Alafia","MRI-CGCM3","Dec",0.696567441755822,0.705415200690783,100,100,0.696567441755822,0.705415200690783,NA
"Turbidity Alafia R at Lithia","Alafia","NorESM1-M","Jan",0.180115460058438,0.00145169682885982,94,50,0.180115460058438,NA,NA
"Turbidity Alafia R at Lithia","Alafia","NorESM1-M","Feb",-0.112999008573797,-0.448472902602745,87,99,-0.112999008573797,-0.448472902602745,NA
"Turbidity Alafia R at Lithia","Alafia","NorESM1-M","Mar",0.128565843776645,-0.442381526552333,90,100,0.128565843776645,-0.442381526552333,NA
"Turbidity Alafia R at Lithia","Alafia","NorESM1-M","Apr",0.259974938267435,-0.28414676708477,100,100,0.259974938267435,-0.28414676708477,NA
"Turbidity Alafia R at Lithia","Alafia","NorESM1-M","May",0.021712845743775,-0.333660748091113,56,100,NA,-0.333660748091113,NA
"Turbidity Alafia R at Lithia","Alafia","NorESM1-M","Jun",-0.428243689782222,-1.19691275210562,100,100,-0.428243689782222,-1.19691275210562,NA
"Turbidity Alafia R at Lithia","Alafia","NorESM1-M","Jul",-0.3968038200148,-1.79103094871211,100,100,-0.3968038200148,-1.79103094871211,NA
"Turbidity Alafia R at Lithia","Alafia","NorESM1-M","Aug",-0.617557436796165,-2.1306553671522,100,100,-0.617557436796165,-2.1306553671522,NA
"Turbidity Alafia R at Lithia","Alafia","NorESM1-M","Sep",-0.42171736632078,-2.12240554000061,100,100,-0.42171736632078,-2.12240554000061,NA
"Turbidity Alafia R at Lithia","Alafia","NorESM1-M","Oct",-0.114435788248942,-1.11326144102473,80,100,-0.114435788248942,-1.11326144102473,NA
"Turbidity Alafia R at Lithia","Alafia","NorESM1-M","Nov",0.0125252831958076,-0.780716132583435,54,100,NA,-0.780716132583435,NA
"Turbidity Alafia R at Lithia","Alafia","NorESM1-M","Dec",0.47090691521992,0.0533318226335602,100,69,0.47090691521992,NA,NA
"Turbidity Alafia R at Lithia","Alafia","BCC-CSM","Jan",-0.0741985533791876,-0.354818510921755,73,100,NA,-0.354818510921755,NA
"Turbidity Alafia R at Lithia","Alafia","BCC-CSM","Feb",-0.04518858537232,-0.694961220358852,66,100,NA,-0.694961220358852,NA
"Turbidity Alafia R at Lithia","Alafia","BCC-CSM","Mar",0.00209957862272003,-0.843734715811633,52,100,NA,-0.843734715811633,NA
"Turbidity Alafia R at Lithia","Alafia","BCC-CSM","Apr",-0.5020814653269,-1.49784605754119,100,100,-0.5020814653269,-1.49784605754119,NA
"Turbidity Alafia R at Lithia","Alafia","BCC-CSM","May",-0.863001415780048,-1.45310140141785,100,100,-0.863001415780048,-1.45310140141785,NA
